K0,Ht,Hp,P,pHi,pK,Mw,Bl,Rf,Mu,Hnc,Esm,El,Et,Pa,Pb,Pt,Pc,Ca,F,Br,Ra,Ns,aN,aC,aM,V0,Nm,Nl,Hgm,ASAD,ASAN,dASA,dGh,GhD,GhN,dHh,-TdSh,dCph,dGc,dHc,-TdSc,dG,dH,-TdS,v,s,f,Pf-s,GEIM800105,GEIM800108,BIOV880102,GRAR740102,GRAR740103,HOPA770101,ISOY800102,ISOY800103,ISOY800104,JOND750101,JUKT750101,KANM800102,KANM800103,KARP850101,KRIW710101,KRIW790101,LAWE840101,LEVM760101,LIFS790101,LIFS790103,MANP780101,MAXF760102,MAXF760106,MIYS850101,NAGK730102,NAGK730103,BURA740102,ARGP820101,NISK860101,OOBM770103,OOBM850103,CHAM820101,OOBM850105,PONP800102,PONP800103,PONP800107,PRAM900104,RACS770101,RACS770102,RACS820113,CHOC760101,ROBB760105,ROSM880102,SIMZ760101,WOEC730101,CHOP780202,YUTK870102,ZIMJ680101,ZIMJ680102,ZIMJ680105,CHOP780204,ONEK900102,VINM940101,NADH010101,NADH010102,NADH010104,NADH010105,FUKS010102,FUKS010103,KUHL950101,ZHOH040101,ZHOH040102,ZHOH040103,PONJ960101,WOLR790101,OLSK800101,KIDA850101,CORJ870102,CORJ870104,CORJ870106,CORJ870108,MIYS990101,FASG890101,DAYM780201,EISD860101,FASG760101,FASG760102,FAUJ830101,FAUJ880101,FAUJ880106,BIGC670101
-122.79999999999998,4.16,48.81,106.46000000000001,31.89,8.44,615.0,60.69,31.799999999999997,87.15,-4.239999999999999,4.41,1.9000000000000004,6.33,4.7,3.82,3.5399999999999996,3.5200000000000005,180.0,4.04,0.64,12.23,22.419999999999998,4.029999999999999,2.91,6.34,435.09000000000003,8.2,13.770000000000001,51.15,760.1,314.8,444.7,-12.67,-26.58,-11.799999999999999,-25.84,13.17,69.74999999999999,11.94,21.13,-9.19,-0.73,-4.72,3.99,21.0,8.0,15.0,5.1,3.8,3.34,-252.0,38.0,433.0,10.4,3.7,3.1500000000000004,3.5,4.16,10.2,3.65,5.39,4.243,21.9,23.04,0.34,4.9,3.7700000000000005,4.03,49.23,3.7,3.7199999999999998,9.12,3.95,3.6,1.329,2.9299999999999997,-4.359999999999999,-1.9180000000000001,-4.220000000000001,0.911,22.979999999999997,29.03,10.200000000000001,12.23,3.2,3.8529999999999998,4.275,73.74,790.0,0.5999999999999999,6.8,3.43,33.1,3.82,24.4,3.83,60.69,32.0,3.0300000000000002,-2.16,4.099,-269.0,-404.0,-232.0,-85.0,24.18,20.2,4.53,10.620000000000001,11.98,38.8,680.9,-3.58,2.15,3.94,-1.139,-0.6699999999999998,-9.68,5.78,0.6499999999999999,3.8499999999999996,308.0,-0.4900000000000001,615.75,930.0,-0.99,8.139999999999999,19.44,401.59999999999997
-154.57999999999998,6.33,63.0,106.59,37.870000000000005,10.799999999999999,746.0,82.09,49.4,105.93,-3.1799999999999993,5.73,2.5500000000000003,8.3,5.91,5.12,4.13,4.210000000000001,215.0,4.83,1.1400000000000001,18.11,29.79,5.9399999999999995,3.49,7.39,542.84,10.389999999999999,18.36,65.28,921.5,345.90000000000003,574.5,-12.4,-26.229999999999997,-11.729999999999999,-29.36,16.96,108.00999999999999,11.59,24.82,-13.23,-0.8099999999999999,-4.55,3.75,25.0,10.0,17.0,5.449999999999999,4.9,3.9299999999999997,-144.0,42.9,544.0,11.200000000000001,4.71,3.72,3.94,6.33,14.899999999999999,4.89,6.949999999999999,5.21,25.15,26.97,1.36,3.1000000000000005,5.07,5.29,64.13,4.68,4.7299999999999995,13.049999999999999,5.21,4.23,1.729,4.46,0.6500000000000004,-2.568,-3.7900000000000005,1.097,26.22,38.4,13.180000000000001,18.11,3.79,4.678,5.073,84.63,960.0,2.8999999999999995,3.78,5.92,38.0,5.12,36.599999999999994,6.35,82.09,49.6,3.6100000000000003,-2.7800000000000002,5.034000000000001,-174.0,-301.0,-128.0,18.0,28.61,22.939999999999998,5.09,15.330000000000002,16.7,59.599999999999994,844.3,-2.4000000000000004,3.62,2.84,0.07600000000000007,0.8500000000000002,0.20000000000000107,-2.8999999999999995,-1.6400000000000001,-0.8300000000000001,348.0,1.4099999999999997,746.92,1267.0,0.71,10.729999999999999,23.89,503.59999999999997
-190.75,7.0,74.41,156.49,43.09,12.989999999999998,893.0,95.66,52.6,123.19000000000001,-3.919999999999999,6.890000000000001,2.9200000000000004,9.84,7.42,5.49,4.87,5.050000000000001,248.0,5.9,1.2300000000000002,21.41,34.89,7.39,5.5,8.67,628.72,12.479999999999999,21.08,76.66,1083.4,426.90000000000003,655.0,-16.11,-33.599999999999994,-15.349999999999998,-34.99,18.880000000000003,111.17999999999999,15.17,30.51,-15.34,-0.94,-4.5,3.56,30.0,13.0,20.0,6.249999999999999,5.470000000000001,4.8999999999999995,-283.0,55.2,627.0,17.400000000000002,5.37,4.69,4.86,7.0,18.2,5.42,8.239999999999998,6.304,30.75,33.14,0.6500000000000001,5.6000000000000005,5.680000000000001,5.91,76.02,5.3,5.77,14.79,5.54,4.98,1.991,4.93,-2.9899999999999998,-2.939,-3.3100000000000005,1.248,31.38,44.78,15.490000000000002,21.41,4.79,5.664,6.173,104.75,1150.0,-2.1000000000000005,5.56,6.47,50.5,5.49,41.49999999999999,7.0,95.66,52.800000000000004,6.050000000000001,-3.0500000000000003,6.128000000000001,-305.0,-416.0,-202.0,-39.0,41.54,28.799999999999997,6.54,17.220000000000002,19.22,66.89999999999999,998.9,-3.3200000000000003,4.33,4.01,-1.142,0.12000000000000022,-4.3599999999999985,1.1400000000000006,-0.9000000000000001,1.4699999999999998,450.0,0.6499999999999997,894.05,1516.0,0.06999999999999995,12.29,27.2,588.3
-223.87,7.66,85.50999999999999,206.19,45.86000000000001,14.999999999999998,1026.0,107.34,55.4,135.19,-3.019999999999999,8.05,3.2700000000000005,11.36,8.43,6.03,6.33,6.260000000000001,274.0,7.04,1.37,24.01,39.84,7.92,7.63,9.23,702.5500000000001,14.28,23.93,88.27,1215.6000000000001,489.3,724.6,-19.08,-39.699999999999996,-18.459999999999997,-39.53,20.450000000000003,113.91,18.06,35.230000000000004,-17.17,-1.02,-4.32,3.3,34.0,15.0,22.0,8.85,6.74,5.829999999999999,-193.0,60.7,682.0,17.500000000000004,6.76,5.29,5.36,8.52,19.5,6.59,8.939999999999998,7.264,29.75,34.87,0.3300000000000001,4.6000000000000005,6.840000000000001,7.15,90.64999999999999,6.47,6.859999999999999,18.15,6.67,5.99,2.524,6.0,1.6700000000000004,-3.609,-3.1100000000000003,1.376,30.599999999999998,55.71,18.85,24.44,5.59,6.564,7.039,133.59,1285.0,2.3,3.5599999999999996,7.17,56.0,6.68,49.8,8.48,109.12,55.6,6.710000000000001,-3.2800000000000002,7.034000000000001,-189.0,-279.0,-20.0,155.0,41.85,29.22,7.09,21.110000000000003,21.439999999999998,89.5,1113.3,-2.7300000000000004,5.76,2.96,-0.9799999999999999,0.9500000000000002,0.010000000000001563,-3.329999999999999,-1.86,-4.57,470.0,1.0299999999999998,1015.1999999999999,1694.0,1.6099999999999999,14.059999999999999,30.61,656.5999999999999
-286.89,11.170000000000002,111.25,255.82,61.56000000000001,19.5,1289.0,144.62,73.2,170.39999999999998,-3.4399999999999995,10.370000000000001,4.300000000000001,14.71,10.65,8.47,7.84,7.880000000000001,353.0,8.969999999999999,1.8900000000000001,32.94,52.34,10.47,8.850000000000001,12.08,901.83,17.869999999999997,32.15,114.41,1554.7000000000003,624.9,927.7,-21.14,-45.489999999999995,-20.119999999999997,-47.699999999999996,26.560000000000002,164.17000000000002,19.74,42.25000000000001,-22.51,-1.4000000000000001,-5.470000000000001,4.069999999999999,42.0,16.0,27.0,10.649999999999999,9.16,7.249999999999999,-264.0,77.9,885.0,23.700000000000003,8.93,6.74,7.17,12.030000000000001,27.8,9.02,11.309999999999997,9.338999999999999,41.05,46.1,0.8000000000000002,6.1000000000000005,9.350000000000001,9.42,117.72,8.59,8.489999999999998,22.869999999999997,8.89,7.66,3.2840000000000003,8.47,1.9400000000000008,-4.637,-4.28,1.7349999999999999,45.09,71.81,24.180000000000003,33.37,7.02,8.429,9.088,167.11,1640.0,5.8,3.8399999999999994,10.36,71.69999999999999,9.12,66.7,11.870000000000001,146.4,73.4,7.980000000000001,-4.07,9.067,-113.0,-376.0,-31.0,257.0,55.62,41.99,8.7,27.000000000000004,27.61,115.1,1414.2,-2.4000000000000004,7.9,4.26,-0.7509999999999999,1.09,-3.709999999999999,-2.5699999999999994,-2.1900000000000004,-4.19,600.0,1.96,1278.54,2211.0,1.8399999999999999,19.619999999999997,38.65,846.8
-296.44,10.99,110.25999999999999,253.72,56.02000000000001,19.88,1262.0,143.91,71.8,160.99999999999997,-1.6499999999999997,10.610000000000001,4.12,14.77,11.18,7.910000000000001,7.63,7.6499999999999995,331.0,8.99,1.91,33.71,51.74,11.249999999999998,10.469999999999999,11.77,860.37,18.02,31.09,112.69,1506.4,611.4,892.2,-18.889999999999997,-40.08,-16.89,-42.9,24.010000000000005,150.67999999999998,18.07,41.91,-23.84,-0.82,-1.0199999999999998,0.19,40.0,14.0,25.0,10.0,8.69,7.219999999999999,-335.0,79.7,844.0,27.599999999999998,8.610000000000001,6.6499999999999995,7.119999999999999,11.85,28.5,8.7,11.45,9.395,40.15,45.72,0.15000000000000024,5.6,9.03,9.02,117.89,8.27,8.35,22.69,8.55,7.08,3.184,8.340000000000002,-0.7699999999999996,-4.454000000000001,-2.2600000000000002,1.595,44.28,71.38,24.040000000000003,34.14,7.14,8.453000000000001,9.076,165.98000000000002,1605.0,0.40000000000000036,1.7299999999999998,10.18,75.1,8.559999999999999,71.60000000000001,11.69,145.69,72.0,9.98,-3.66,9.153,-60.0,-347.0,-10.0,279.0,61.68000000000001,43.34,8.569999999999999,26.180000000000003,26.929999999999996,113.89999999999999,1372.6999999999998,-0.7700000000000004,8.61,3.56,-1.3849999999999998,0.28,-4.38,0.14000000000000057,-1.89,-4.0,637.0,3.3000000000000007,1251.4699999999998,2222.0,2.21,18.84,35.72,822.4000000000001
-301.43,9.989999999999998,108.05,302.19,55.5,19.79,1260.0,141.23,60.30000000000001,156.62,-3.0300000000000002,10.470000000000002,3.8400000000000003,14.349999999999998,11.24,7.230000000000001,7.7700000000000005,7.8999999999999995,321.0,9.28,1.58,31.800000000000004,50.449999999999996,11.45,11.749999999999998,11.579999999999998,840.8999999999999,17.84,29.669999999999998,110.21,1478.5000000000002,651.1,824.8000000000001,-22.0,-46.739999999999995,-20.41,-44.370000000000005,22.370000000000005,122.17999999999999,20.520000000000003,40.53999999999999,-20.02,-1.48,-3.8600000000000003,2.36,41.0,17.0,25.0,10.25,8.38,7.6099999999999985,-595.0,86.3,822.0,33.1,8.21,7.32,7.59,10.85,30.7,8.180000000000001,10.91,9.542,44.35,49.45,-1.3699999999999999,9.4,8.450000000000001,8.55,115.38999999999999,7.8100000000000005,9.03,20.209999999999997,7.59,7.21,3.071,7.629999999999999,-7.92,-4.1659999999999995,-1.9299999999999997,1.525,47.25999999999999,67.92999999999999,23.169999999999998,32.230000000000004,7.75,8.635,9.395,165.49,1610.0,-6.8999999999999995,5.18,9.430000000000001,82.30000000000001,7.880000000000001,68.10000000000001,10.940000000000001,143.01,60.30000000000001,11.71,-3.43,9.295,-269.0,-535.0,-166.0,132.0,72.74000000000001,48.6,9.36,24.44,25.54,105.49999999999999,1361.3999999999999,-2.24,7.54,5.459999999999999,-3.623,-1.54,-16.409999999999997,11.310000000000002,0.20999999999999996,1.96,645.0,0.1399999999999999,1249.3899999999999,2188.0,0.3400000000000001,18.049999999999997,34.23,809.4000000000001
-300.81000000000006,10.52,111.22999999999999,252.82,51.739999999999995,19.97,1245.0,146.92,74.4,154.11,-0.46999999999999975,10.72,4.19,14.950000000000001,11.29,7.790000000000001,7.35,7.6,310.0,8.93,2.04,35.89,52.94,12.229999999999999,11.739999999999998,10.98,840.15,18.07,31.47,112.75999999999999,1444.7000000000003,574.7,867.1000000000001,-19.54,-40.419999999999995,-18.64,-42.870000000000005,23.33,142.76,18.299999999999997,40.66,-22.36,-1.2400000000000002,-2.2400000000000007,0.99,40.0,19.0,23.0,8.9,8.620000000000001,7.379999999999999,-299.0,79.9,814.0,28.6,8.450000000000001,6.880000000000001,6.78,11.379999999999999,31.3,8.65,11.200000000000001,9.416,39.7,45.46,-0.2599999999999998,4.6000000000000005,9.05,9.07,118.93,8.0,8.99,22.909999999999997,8.040000000000001,7.0,3.2060000000000004,8.01,1.27,-4.516,0.2099999999999998,1.492,39.82,71.58,24.029999999999998,36.32,7.38,8.42,8.961,159.92000000000002,1580.0,-1.2999999999999998,-0.30000000000000027,10.42,77.10000000000001,8.440000000000001,72.8,11.86,148.7,74.4,11.63,-3.4000000000000004,9.128,-150.0,-227.0,62.0,244.0,66.97,41.67,8.82,27.03,27.759999999999998,120.19999999999999,1362.3,-0.26000000000000045,8.86,2.6599999999999997,-1.7379999999999998,0.99,5.390000000000002,-5.069999999999999,-3.0900000000000003,-6.6000000000000005,629.0,2.61,1234.37,2301.0,3.0299999999999994,18.75,33.81,806.3000000000001
-299.99,12.69,113.63999999999999,249.42000000000002,52.07000000000001,20.16,1230.0,153.87,83.0,155.33,1.4400000000000004,10.92,4.44,15.399999999999999,11.39,7.99,6.96,7.419999999999998,309.0,8.65,2.43,39.07000000000001,54.85999999999999,13.16,11.12,10.400000000000002,854.0,18.23,33.0,114.27999999999999,1441.2000000000003,534.3000000000001,903.5999999999999,-15.350000000000001,-32.949999999999996,-15.420000000000002,-40.160000000000004,24.809999999999995,177.27999999999997,14.26,39.879999999999995,-25.619999999999997,-1.0900000000000003,-0.3099999999999996,-0.78,39.0,18.0,22.0,7.849999999999999,8.7,7.029999999999999,-74.0,74.30000000000001,840.0,27.3,8.57,6.670000000000001,6.3900000000000015,13.549999999999999,33.6,8.91,11.620000000000001,9.218000000000002,36.85,43.26,1.08,2.6000000000000005,9.400000000000002,9.15,122.07000000000002,8.090000000000002,8.87,25.09,8.12,6.819999999999999,3.279,9.54,9.04,-4.761,1.7599999999999998,1.4979999999999998,38.910000000000004,74.28000000000002,24.56,39.50000000000001,6.999999999999999,8.197999999999999,8.609,155.39,1570.0,-0.20000000000000018,-5.44,13.01,73.4,8.64,76.5,14.379999999999999,155.65,83.0,10.99,-3.6900000000000004,9.026000000000002,84.0,4.0,261.0,434.0,66.16,38.99000000000001,8.190000000000001,29.580000000000002,30.11,132.5,1369.3000000000002,1.6999999999999995,10.11,0.4599999999999995,0.3820000000000001,3.34,16.610000000000003,-17.63,-5.9399999999999995,-12.799999999999999,576.0,4.73,1219.3899999999999,2453.0,4.95,19.78,34.73,818.6000000000001
-298.09000000000003,10.59,111.13,250.95999999999998,51.77,20.009999999999998,1204.0,141.94,72.30000000000001,142.9,0.20000000000000034,10.9,4.24,15.180000000000001,10.95,7.4399999999999995,7.8,8.069999999999999,294.0,8.99,2.16,35.62,53.019999999999996,11.95,11.35,10.22,806.87,17.61,32.16,113.53999999999999,1391.2000000000003,551.9000000000001,836.5999999999999,-19.44,-39.48,-17.85,-42.58,23.14,145.15999999999997,18.03,41.989999999999995,-23.959999999999997,-1.4100000000000001,-0.6399999999999998,-0.78,37.0,16.0,21.0,8.6,8.65,7.67,-242.0,78.60000000000001,761.0,28.2,8.65,7.290000000000001,7.160000000000001,11.450000000000001,33.4,8.590000000000002,10.540000000000001,9.420000000000002,38.85,44.699999999999996,0.11000000000000006,4.7,8.92,8.76,118.40000000000002,8.150000000000002,9.42,22.97,7.629999999999999,7.529999999999999,3.233,8.06,1.1899999999999995,-4.566,0.4999999999999999,1.374,42.45,71.84,24.180000000000003,36.050000000000004,7.739999999999999,8.429,8.893,164.45,1515.0,-4.2,-2.32,10.559999999999999,76.0,8.09,72.3,12.0,143.72,72.30000000000001,11.15,-3.4200000000000004,9.137,-45.0,-125.0,123.0,295.0,67.14,45.85,8.63,26.53,27.209999999999997,119.89999999999999,1307.9,0.4699999999999996,9.499999999999998,1.9799999999999995,-1.396,1.2699999999999998,0.520000000000004,-4.869999999999999,-3.1000000000000005,-6.380000000000001,656.0,2.84,1193.31,2344.0,3.21,18.5,32.98,771.5
